dong,dongcode,total
제기동,1106082,16351
조원동,1121072,12868
종로1.2.3.4가동,1101061,6634
종로5.6가동,1101063,4242
종암동,1108084,19613
중계1동,1111061,7424
중계2.3동,1111078,12866
중계4동,1111064,9464
중계본동,1111060,7545
중곡1동,1105055,8961
중곡2동,1105056,11109
중곡3동,1105057,8946
중곡4동,1105058,13499
중림동,1102068,5892
중앙동,1121061,10510
중화1동,1107061,8888
중화2동,1107062,14175
증산동,1112067,6848
진관동,1112071,18344
창1동,1110059,9937
창2동,1110060,13066
창3동,1110061,6668
창4동,1110062,8649
창5동,1110063,10747
창신1동,1101067,3016
창신2동,1101068,4873
창신3동,1101069,2947
천연동,1113052,7823
천호1동,1125061,12922
천호2동,1125073,17580
천호3동,1125063,14807
청구동,1102072,6275
청담동,1123078,12199
청량리동,1106080,9469
청룡동,1121080,24444
청림동,1121054,6689
청운효자동,1101072,5926
청파동,1103071,13063
충현동,1113073,11206
평창동,1101056,9805
풍납1동,1124051,6405
풍납2동,1124052,9573
필동,1102057,4803
하계1동,1111058,9846
하계2동,1111059,6251
한강로동,1103073,12063
한남동,1103074,12986
합정동,1114068,10561
행당1동,1104056,11352
행당2동,1104057,9111
행운동,1121057,17338
혜화동,1101073,12328
홍은1동,1113066,3509
홍은2동,1113068,19998
홍제1동,1113062,6783
홍제3동,1113065,8509
홍제4동,1113064,8952
화곡1동,1116073,29365
화곡2동,1116057,9003
화곡3동,1116058,9896
화곡4동,1116059,10972
화곡6동,1116061,13066
화곡8동,1116063,12269
화곡본동,1116055,18047
화양동,1105053,22285
황학동,1102067,8348
회기동,1106071,9366
회현동,1102054,3158
효창동,1103058,4613
후암동,1103051,8841
휘경1동,1106072,9617
휘경2동,1106073,13416
흑석동,1120071,15987
